dispute_id,booking_id,employer_id,worker_id,dispute_reason,dispute_status,created_at,resolved_at
1,34,24,6480,Incorrect service provided,In Review,2025-04-07,
2,50,397,4434,Damaged property,Rejected,2025-11-07,
3,55,176,4476,Incorrect service provided,Resolved,2025-11-12,2025-11-18
4,66,445,1848,Incorrect service provided,Resolved,2025-05-30,2025-06-13
5,68,323,5007,Worker did not arrive,Resolved,2025-03-03,2025-03-17
6,126,320,1498,Poor quality of work,Resolved,2025-11-22,2025-12-05
7,129,192,2500,Incomplete work,Resolved,2025-12-02,2025-12-06
8,158,224,3669,Overcharged,Resolved,2025-12-28,2026-01-05
9,189,485,4564,Incomplete work,Resolved,2025-06-16,2025-06-29
10,192,469,5454,Poor quality of work,Rejected,2025-03-09,
11,220,367,1056,Damaged property,Resolved,2025-01-15,2025-01-21
12,238,219,4509,Incomplete work,In Review,2025-07-19,
13,243,120,5099,Job took longer than expected,In Review,2025-05-21,
14,256,106,86,Poor quality of work,Resolved,2025-12-17,2025-12-25
15,268,215,4146,Incomplete work,Resolved,2025-05-13,2025-05-27
16,276,271,5016,Unprofessional behaviour,Resolved,2025-06-21,2025-07-04
17,298,108,1098,Late arrival,In Review,2025-06-19,
18,303,8,3504,Incorrect service provided,In Review,2025-04-01,
19,317,100,310,Unprofessional behaviour,In Review,2025-10-08,
20,319,125,4290,Late arrival,Resolved,2025-09-15,2025-09-25
21,350,12,515,Incorrect service provided,Resolved,2025-07-17,2025-07-20
22,374,72,3179,Damaged property,Rejected,2025-12-21,
23,381,120,5038,Late arrival,Resolved,2025-09-29,2025-10-13
24,389,120,3785,Payment disagreement,Resolved,2025-06-03,2025-06-11
25,394,487,5750,Damaged property,Resolved,2025-09-08,2025-09-12
26,425,399,3528,Incomplete work,Resolved,2025-04-30,2025-05-11
27,434,158,5989,Worker did not arrive,Resolved,2025-06-14,2025-06-24
28,436,423,4044,Worker did not arrive,Resolved,2025-09-14,2025-09-27
29,442,290,710,Overcharged,In Review,2025-03-30,
30,448,24,776,Late arrival,Resolved,2025-08-19,2025-08-25
31,459,66,4476,Overcharged,Resolved,2025-09-09,2025-09-19
32,468,232,3691,Damaged property,Resolved,2025-07-23,2025-08-05
33,477,80,3067,Incorrect service provided,Resolved,2025-02-26,2025-03-07
34,495,490,5877,Damaged property,Resolved,2025-10-26,2025-11-09
35,525,183,2957,Unprofessional behaviour,In Review,2025-04-24,
36,526,97,1596,Unprofessional behaviour,In Review,2025-01-09,
37,531,74,9,Incomplete work,Rejected,2025-04-10,
38,534,130,799,Poor quality of work,Resolved,2025-03-18,2025-03-23
39,546,179,1581,Poor quality of work,Resolved,2025-12-02,2025-12-13
40,565,59,3378,Incomplete work,Open,2025-04-16,
41,566,287,4807,Incorrect service provided,Rejected,2025-11-28,
42,577,139,2839,Damaged property,Rejected,2025-01-24,
43,583,375,4180,Job took longer than expected,Resolved,2025-12-13,2025-12-21
44,614,102,4853,Incorrect service provided,Rejected,2025-04-21,
45,618,404,5610,Overcharged,Resolved,2025-05-05,2025-05-10
46,641,325,5342,Overcharged,Open,2025-11-07,
47,648,472,420,Incomplete work,Resolved,2025-07-30,2025-08-05
48,660,238,3121,Late arrival,In Review,2025-09-05,
49,669,73,3628,Damaged property,Resolved,2025-06-02,2025-06-08
50,670,100,2360,Overcharged,Resolved,2025-01-23,2025-02-06
51,679,452,818,Incomplete work,Resolved,2025-08-08,2025-08-20
52,686,206,228,Late arrival,Open,2025-11-06,
53,695,168,1880,Worker did not arrive,Resolved,2025-12-10,2025-12-14
54,699,370,267,Poor quality of work,Rejected,2025-02-17,
55,702,158,3573,Payment disagreement,Resolved,2025-12-19,2025-12-27
56,710,163,271,Damaged property,Resolved,2025-07-09,2025-07-14
57,738,202,5883,Incorrect service provided,Resolved,2025-02-01,2025-02-05
58,753,437,2980,Poor quality of work,Resolved,2025-02-07,2025-02-15
59,754,306,6437,Unprofessional behaviour,Open,2025-07-23,
60,760,273,115,Late arrival,In Review,2025-08-29,
61,764,280,3339,Incorrect service provided,Resolved,2025-05-27,2025-05-30
62,766,218,2540,Worker did not arrive,In Review,2025-03-25,
63,789,224,3560,Unprofessional behaviour,Resolved,2025-04-05,2025-04-15
64,790,15,3524,Unprofessional behaviour,Resolved,2025-11-25,2025-12-08
65,797,61,4608,Poor quality of work,Resolved,2025-12-14,2025-12-26
66,799,150,5907,Overcharged,Rejected,2025-10-30,
67,806,418,4601,Incorrect service provided,Open,2025-02-10,
68,814,313,5204,Late arrival,Resolved,2025-09-21,2025-10-05
69,827,200,2538,Worker did not arrive,Rejected,2025-12-16,
70,838,499,4424,Incomplete work,Resolved,2025-06-01,2025-06-03
71,860,143,5415,Unprofessional behaviour,Resolved,2025-11-14,2025-11-24
72,862,333,4900,Payment disagreement,Resolved,2025-11-09,2025-11-17
73,865,265,5473,Poor quality of work,In Review,2025-03-04,
74,901,31,1229,Late arrival,Resolved,2025-09-19,2025-09-28
75,916,57,6261,Worker did not arrive,Resolved,2025-08-17,2025-08-30
76,918,120,1087,Payment disagreement,Resolved,2025-05-17,2025-05-25
77,935,196,2633,Incomplete work,Rejected,2025-03-20,
78,944,280,1168,Overcharged,Open,2025-12-29,
79,953,301,236,Payment disagreement,Resolved,2025-02-23,2025-03-02
80,961,64,991,Payment disagreement,Open,2025-03-10,
81,969,446,2713,Incorrect service provided,Resolved,2025-06-22,2025-07-02
82,973,289,5546,Late arrival,Resolved,2025-01-30,2025-02-05
83,1014,481,208,Job took longer than expected,Resolved,2025-04-12,2025-04-14
84,1018,373,5163,Poor quality of work,Resolved,2025-09-08,2025-09-17
85,1026,31,3599,Incorrect service provided,Resolved,2025-05-09,2025-05-22
86,1029,105,3162,Incorrect service provided,Resolved,2025-03-26,2025-04-09
87,1030,369,6213,Payment disagreement,Open,2025-04-11,
88,1036,205,3148,Damaged property,Resolved,2025-01-17,2025-01-21
89,1039,117,2016,Overcharged,In Review,2025-08-26,
90,1044,432,1940,Worker did not arrive,In Review,2025-01-27,
91,1054,87,3396,Incomplete work,In Review,2025-03-19,
92,1077,199,5304,Poor quality of work,Open,2025-06-24,
93,1079,314,4575,Overcharged,Open,2025-03-14,
94,1090,383,4078,Late arrival,In Review,2026-01-01,
95,1101,443,5456,Overcharged,Resolved,2025-12-04,2025-12-07
96,1107,187,2352,Incorrect service provided,In Review,2025-06-15,
97,1108,423,3161,Worker did not arrive,Resolved,2025-02-01,2025-02-10
98,1131,357,3489,Worker did not arrive,Open,2025-08-19,
99,1153,370,1003,Job took longer than expected,In Review,2025-05-07,
100,1160,389,753,Poor quality of work,Resolved,2025-06-10,2025-06-20
101,1162,127,5895,Incorrect service provided,In Review,2025-07-04,
102,1172,470,909,Overcharged,Open,2025-12-29,
103,1178,312,6384,Payment disagreement,Resolved,2025-06-29,2025-07-02
104,1179,153,5719,Late arrival,In Review,2025-07-03,
105,1181,62,2277,Damaged property,Resolved,2025-05-21,2025-05-26
106,1183,56,4143,Damaged property,Resolved,2025-02-04,2025-02-16
107,1184,230,947,Poor quality of work,Open,2025-10-27,
108,1187,319,6356,Overcharged,Open,2025-08-04,
109,1189,17,6130,Worker did not arrive,Rejected,2025-11-11,
110,1219,249,5837,Incomplete work,Resolved,2025-11-30,2025-12-12
111,1236,335,4136,Incomplete work,Resolved,2025-10-27,2025-10-31
112,1264,9,865,Unprofessional behaviour,Resolved,2025-08-31,2025-09-03
113,1267,238,1724,Incomplete work,Resolved,2025-10-16,2025-10-26
114,1271,499,6418,Worker did not arrive,In Review,2025-06-03,
115,1278,156,4539,Late arrival,Resolved,2025-12-15,2025-12-17
116,1282,313,3864,Poor quality of work,Rejected,2025-01-10,
117,1284,486,6049,Poor quality of work,Resolved,2026-01-02,2026-01-09
118,1286,283,493,Late arrival,Resolved,2025-10-03,2025-10-16
119,1326,429,3286,Late arrival,Resolved,2025-08-09,2025-08-13
120,1330,403,5717,Late arrival,Resolved,2025-05-19,2025-05-31
121,1349,94,6119,Damaged property,Resolved,2025-04-25,2025-04-30
122,1351,408,1346,Damaged property,Resolved,2025-09-13,2025-09-24
123,1370,383,4713,Overcharged,Resolved,2025-01-11,2025-01-21
124,1402,498,1061,Payment disagreement,Open,2025-03-07,
125,1433,355,3075,Incorrect service provided,Open,2025-07-31,
126,1436,380,4910,Overcharged,Rejected,2025-05-23,
127,1437,375,6218,Late arrival,Resolved,2025-06-17,2025-07-01
128,1447,201,5266,Incomplete work,Open,2026-01-04,
129,1478,36,4188,Job took longer than expected,Resolved,2025-09-06,2025-09-11
130,1480,470,751,Overcharged,Rejected,2025-08-11,
131,1482,394,5043,Damaged property,Open,2025-05-28,
132,1487,237,6049,Damaged property,Rejected,2025-09-19,
133,1498,159,5920,Late arrival,Resolved,2025-05-24,2025-05-26
134,1501,455,2757,Damaged property,Resolved,2025-12-31,2026-01-07
135,1514,192,5449,Late arrival,Rejected,2025-03-21,
136,1515,320,2508,Payment disagreement,Rejected,2026-01-04,
137,1516,226,4106,Damaged property,Resolved,2025-07-16,2025-07-29
138,1530,99,2693,Payment disagreement,Rejected,2025-11-15,
139,1546,415,3770,Payment disagreement,In Review,2025-09-11,
140,1556,364,3547,Payment disagreement,In Review,2025-11-09,
141,1586,274,2986,Worker did not arrive,Open,2025-06-14,
142,1605,344,5782,Job took longer than expected,In Review,2025-09-28,
143,1606,61,856,Incorrect service provided,Resolved,2025-09-23,2025-10-04
144,1632,276,1270,Incomplete work,Resolved,2025-09-25,2025-10-07
145,1633,487,5479,Late arrival,Open,2026-01-03,
146,1636,29,6266,Worker did not arrive,Resolved,2025-08-11,2025-08-13
147,1637,173,3042,Overcharged,Resolved,2025-12-20,2025-12-23
148,1670,116,1660,Incomplete work,Open,2025-03-21,
149,1674,72,4445,Job took longer than expected,Open,2025-10-02,
150,1679,265,2169,Unprofessional behaviour,Resolved,2025-11-20,2025-12-02
151,1680,129,1396,Late arrival,Resolved,2025-03-24,2025-04-03
152,1703,205,3256,Incorrect service provided,In Review,2025-06-13,
153,1705,184,3159,Late arrival,In Review,2025-10-18,
154,1709,9,4931,Late arrival,Resolved,2025-12-01,2025-12-03
155,1720,262,55,Unprofessional behaviour,Resolved,2025-11-10,2025-11-19
156,1726,348,1052,Incorrect service provided,In Review,2025-02-01,
157,1747,40,253,Late arrival,Resolved,2025-03-29,2025-04-09
158,1771,201,669,Job took longer than expected,Resolved,2025-03-11,2025-03-19
159,1773,31,927,Unprofessional behaviour,Open,2025-02-02,
160,1775,351,6046,Overcharged,Resolved,2025-08-03,2025-08-11
161,1784,287,1984,Poor quality of work,Resolved,2025-08-26,2025-08-30
162,1797,37,5342,Poor quality of work,Resolved,2025-12-11,2025-12-16
163,1805,279,1003,Payment disagreement,Resolved,2025-09-04,2025-09-10
164,1840,199,2354,Worker did not arrive,Resolved,2025-11-25,2025-11-28
165,1866,415,5530,Late arrival,Resolved,2025-05-13,2025-05-22
166,1877,398,3735,Unprofessional behaviour,Open,2025-03-18,
167,1879,117,2996,Job took longer than expected,Resolved,2025-04-30,2025-05-14
168,1880,389,3565,Worker did not arrive,In Review,2025-12-23,
169,1912,354,5555,Payment disagreement,Resolved,2025-04-16,2025-04-27
170,1914,102,1276,Job took longer than expected,Rejected,2025-09-27,
171,1915,256,1682,Late arrival,In Review,2025-06-19,
172,1926,249,5512,Job took longer than expected,Rejected,2025-06-11,
173,1934,482,4446,Damaged property,Resolved,2025-06-23,2025-07-04
174,1939,249,1346,Overcharged,Rejected,2025-05-20,
175,1942,405,4146,Job took longer than expected,In Review,2025-03-28,
176,1945,483,3520,Late arrival,Resolved,2025-12-18,2026-01-01
177,1952,252,674,Unprofessional behaviour,Open,2025-12-09,
178,1962,237,3657,Overcharged,In Review,2025-03-31,
179,1975,44,4470,Worker did not arrive,Resolved,2025-07-06,2025-07-17
180,1977,154,3494,Late arrival,In Review,2025-04-19,
181,1982,486,688,Payment disagreement,Open,2025-03-17,
182,1984,136,6307,Overcharged,Resolved,2025-12-14,2025-12-21
183,1986,120,1899,Incorrect service provided,Rejected,2025-09-09,
184,1990,175,5080,Overcharged,Rejected,2025-07-26,
185,1993,33,4057,Payment disagreement,Open,2025-08-10,
186,1995,296,2484,Damaged property,Open,2025-01-25,
