job_id,employer_id,title,description,budget,status,location_id,posted_at
1,315,Need Light Installation,Looking for an experienced light installation to provide electrical services.,1831,Completed,120,2025-03-18
2,374,Need Fan Installation,Looking for an experienced fan installation to provide electrical services.,1776,Open,26,2025-04-16
3,404,Need House Wiring,Looking for an experienced house wiring to provide electrical services.,9104,Cancelled,728,2025-01-06
4,485,Need Switch Repair,Looking for an experienced switch repair to provide electrical services.,3091,Completed,214,2025-03-26
5,237,Need Interior Painting,Looking for an experienced interior painting to provide painting services.,6908,Assigned,54,2025-05-18
6,24,Need Packers,Looking for an experienced packers to provide moving services services.,3197,Open,700,2025-09-12
7,481,Need Packers,Looking for an experienced packers to provide moving services services.,3735,Completed,202,2025-03-18
8,474,Need Microwave Repair,Looking for an experienced microwave repair to provide home appliances services.,5734,Completed,667,2025-08-26
9,396,Need Exterior Painting,Looking for an experienced exterior painting to provide painting services.,3095,Assigned,38,2025-02-09
10,143,Need Packers,Looking for an experienced packers to provide moving services services.,6568,Open,215,2025-11-12
11,329,Need Carpenter,Looking for an experienced carpenter to provide carpentry services.,2645,Completed,598,2025-03-15
12,489,Need Plumber,Looking for an experienced plumber to provide plumbing services.,7230,Assigned,138,2025-03-16
13,396,Need Bathroom Fitting,Looking for an experienced bathroom fitting to provide plumbing services.,6774,Completed,416,2025-07-17
14,94,Need Packers,Looking for an experienced packers to provide moving services services.,6341,Open,605,2025-10-22
15,42,Need AC Installation,Looking for an experienced ac installation to provide hvac services.,2543,Completed,613,2025-01-03
16,500,Need Door Repair,Looking for an experienced door repair to provide carpentry services.,7526,Open,413,2025-10-19
17,257,Need Security Guard,Looking for an experienced security guard to provide security services.,756,Assigned,505,2025-03-06
18,62,Need Wall Painting,Looking for an experienced wall painting to provide painting services.,893,Completed,52,2025-11-11
19,374,Need Tailor,Looking for an experienced tailor to provide tailoring services.,8202,Completed,79,2025-07-04
20,294,Need Washing Machine Repair,Looking for an experienced washing machine repair to provide home appliances services.,6057,Completed,392,2025-02-14
