job_skill_id,job_id,skill_id
1,1,45
2,2,29
3,2,30
4,2,28
5,3,1
6,3,5
7,3,2
8,3,3
9,4,34
10,4,35
11,4,36
12,5,16
13,5,15
14,5,17
15,6,27
16,6,28
17,6,30
18,7,28
19,7,30
20,7,29
21,8,31
22,8,32
23,8,33
24,9,17
25,9,15
26,10,30
27,10,27
28,10,29
29,10,28
30,11,11
31,11,13
32,11,14
33,12,7
34,12,10
35,13,16
36,13,18
37,13,15
38,14,27
39,14,30
40,14,28
41,14,29
42,15,27
43,15,29
44,15,30
45,15,28
46,16,48
47,16,47
48,17,46
49,18,16
50,18,18
51,19,40
52,19,41
53,19,42
54,20,30
55,20,28
56,20,29
57,20,27
58,21,28
59,21,30
60,22,5
61,22,3
62,23,28
63,23,27
64,24,43
65,24,44
66,25,36
67,25,35
68,25,34
69,26,30
70,26,28
71,26,27
72,27,26
73,27,24
74,27,23
75,27,25
76,28,40
77,28,42
78,28,41
79,29,40
80,29,42
81,30,47
82,30,48
83,31,40
84,31,41
85,31,42
86,32,28
87,32,29
88,33,15
89,33,18
90,34,29
91,34,30
92,35,37
93,35,38
94,36,20
95,36,22
96,37,16
97,37,15
98,37,18
99,38,31
100,38,32
101,38,33
102,39,16
103,39,15
104,40,33
105,40,31
106,40,32
107,41,28
108,41,29
109,41,27
110,41,30
111,42,36
112,42,35
113,42,34
114,43,22
115,43,19
116,44,27
117,44,28
118,45,37
119,45,39
120,45,38
121,46,20
122,46,22
123,46,21
124,47,40
125,47,42
126,47,41
127,48,24
128,48,25
129,49,23
130,49,26
131,49,24
132,50,40
133,50,42
134,50,41
135,51,27
136,51,28
137,52,38
138,52,39
139,52,37
140,53,46
141,54,46
142,55,30
143,55,28
144,56,6
145,56,10
146,57,43
147,57,44
148,58,29
149,58,27
150,59,27
151,59,30
152,60,26
153,60,23
154,60,25
155,60,24
156,61,45
157,62,44
158,62,43
159,63,42
160,63,41
161,63,40
162,64,37
163,64,39
164,64,38
165,65,45
166,66,23
167,66,25
168,66,26
169,66,24
170,67,20
171,67,19
172,67,22
173,67,21
174,68,45
175,69,40
176,69,41
177,69,42
178,70,18
179,70,17
180,70,15
181,71,28
182,71,29
183,71,30
184,72,24
185,72,23
186,72,25
187,73,32
188,73,31
189,74,16
190,74,18
191,74,15
192,74,17
193,75,26
194,75,25
195,75,23
196,75,24
197,76,30
198,76,27
199,77,9
200,77,8
201,77,7
202,78,28
203,78,30
204,79,42
205,79,40
206,79,41
207,80,21
208,80,22
209,80,20
210,80,19
211,81,15
212,81,17
213,81,16
214,81,18
215,82,36
216,82,34
217,82,35
218,83,40
219,83,41
220,83,42
221,84,17
222,84,15
223,85,12
224,85,14
225,85,11
226,85,13
227,86,44
228,86,43
229,87,31
230,87,33
231,88,45
232,89,26
233,89,24
234,89,23
235,90,22
236,90,20
237,91,26
238,91,23
239,91,25
240,91,24
241,92,28
242,92,27
243,92,30
244,92,29
245,93,31
246,93,33
247,93,32
248,94,24
249,94,25
250,94,23
251,95,10
252,95,8
253,95,6
254,95,7
255,96,43
256,96,44
257,97,39
258,97,38
259,98,43
260,98,44
261,99,18
262,99,16
263,99,17
264,100,32
265,100,31
266,100,33
267,101,32
268,101,33
269,101,31
270,102,1
271,102,4
272,103,17
273,103,18
274,103,16
275,104,29
276,104,27
277,104,30
278,105,32
279,105,31
280,105,33
281,106,38
282,106,39
283,107,30
284,107,28
285,108,23
286,108,26
287,109,18
288,109,15
289,110,27
290,110,30
291,110,29
292,110,28
293,111,21
294,111,20
295,111,22
296,112,25
297,112,24
298,113,27
299,113,30
300,113,28
301,113,29
302,114,48
303,114,47
304,115,19
305,115,22
306,115,20
307,115,21
308,116,46
309,117,24
310,117,25
311,117,26
312,118,20
313,118,21
314,119,31
315,119,33
316,120,15
317,120,18
318,120,17
319,121,22
320,121,21
321,121,19
322,122,14
323,122,11
324,122,13
325,122,12
326,123,40
327,123,41
328,123,42
329,124,48
330,124,47
331,125,7
332,125,8
333,126,11
334,126,14
335,126,12
336,127,36
337,127,34
338,128,48
339,128,47
340,129,41
341,129,40
342,129,42
343,130,40
344,130,41
345,130,42
346,131,21
347,131,19
348,131,20
349,132,7
350,132,10
351,132,6
352,133,23
353,133,25
354,133,26
355,133,24
356,134,13
357,134,12
358,134,14
359,134,11
360,135,41
361,135,40
362,135,42
363,136,14
364,136,13
365,136,11
366,137,36
367,137,34
368,137,35
369,138,41
370,138,40
371,138,42
372,139,31
373,139,33
374,139,32
375,140,26
376,140,23
377,140,25
378,141,39
379,141,38
380,141,37
381,142,37
382,142,38
383,142,39
384,143,11
385,143,13
386,143,12
387,144,46
388,145,21
389,145,20
390,145,19
391,145,22
392,146,19
393,146,22
394,147,46
395,148,46
396,149,25
397,149,23
398,149,26
399,149,24
400,150,16
401,150,15
402,150,18
403,151,36
404,151,34
405,151,35
406,152,25
407,152,23
408,152,26
409,153,38
410,153,39
411,154,30
412,154,27
413,154,28
414,154,29
415,155,1
416,155,5
417,155,4
418,155,3
419,156,3
420,156,4
421,156,1
422,156,2
423,157,5
424,157,2
425,158,48
426,158,47
427,159,15
428,159,17
429,159,16
430,160,27
431,160,30
432,160,29
433,161,28
434,161,30
435,161,27
436,162,37
437,162,38
438,162,39
439,163,30
440,163,28
441,164,19
442,164,22
443,164,20
444,165,17
445,165,16
446,165,18
447,165,15
448,166,46
449,167,29
450,167,28
451,167,30
452,168,33
453,168,32
454,169,39
455,169,38
456,170,24
457,170,23
458,170,26
459,170,25
460,171,41
461,171,40
462,171,42
463,172,11
464,172,14
465,173,6
466,173,7
467,174,12
468,174,14
469,174,13
470,174,11
471,175,33
472,175,31
473,175,32
474,176,38
475,176,37
476,177,40
477,177,42
478,177,41
479,178,30
480,178,28
481,179,16
482,179,18
483,179,15
484,180,30
485,180,29
486,181,25
487,181,23
488,182,27
489,182,30
490,182,28
491,183,43
492,183,44
493,184,39
494,184,37
495,184,38
496,185,26
497,185,23
498,185,24
499,186,28
500,186,29
501,186,30
502,186,27
503,187,23
504,187,26
505,187,24
506,188,42
507,188,41
508,188,40
509,189,13
510,189,12
511,189,14
512,190,14
513,190,13
514,191,31
515,191,33
516,191,32
517,192,40
518,192,41
519,192,42
520,193,8
521,193,6
522,194,12
523,194,11
524,194,14
525,195,16
526,195,18
527,196,29
528,196,27
529,196,28
530,196,30
531,197,7
532,197,6
533,197,9
534,197,8
535,198,39
536,198,38
537,198,37
538,199,21
539,199,20
540,199,19
541,199,22
542,200,44
543,200,43
544,201,16
545,201,15
546,201,17
547,202,27
548,202,30
549,202,28
550,203,39
551,203,37
552,203,38
553,204,28
554,204,29
555,204,30
556,204,27
557,205,25
558,205,26
559,205,23
560,206,43
561,206,44
562,207,41
563,207,42
564,208,16
565,208,15
566,209,43
567,209,44
568,210,39
569,210,37
570,210,38
571,211,30
572,211,29
573,212,1
574,212,4
575,212,5
576,212,2
577,213,13
578,213,14
579,214,15
580,214,18
581,215,33
582,215,31
583,215,32
584,216,35
585,216,34
586,216,36
587,217,3
588,217,5
589,217,4
590,218,17
591,218,16
592,218,15
593,219,38
594,219,37
595,220,30
596,220,28
597,221,25
598,221,24
599,221,23
600,222,38
601,222,39
602,222,37
603,223,11
604,223,13
605,223,12
606,223,14
607,224,34
608,224,35
609,224,36
610,225,38
611,225,37
612,225,39
613,226,26
614,226,25
615,226,24
616,226,23
617,227,36
618,227,35
619,227,34
620,228,17
621,228,16
622,228,15
623,228,18
624,229,32
625,229,33
626,229,31
627,230,33
628,230,32
629,230,31
630,231,35
631,231,34
632,231,36
633,232,19
634,232,21
635,233,46
636,234,8
637,234,9
638,234,6
639,235,43
640,235,44
641,236,9
642,236,6
643,237,27
644,237,28
645,238,18
646,238,15
647,238,17
648,239,27
649,239,29
650,239,30
651,240,29
652,240,28
653,240,30
654,241,45
655,242,5
656,242,4
657,243,2
658,243,4
659,243,5
660,243,3
661,244,12
662,244,13
663,244,11
664,245,21
665,245,20
666,246,48
667,246,47
668,247,39
669,247,37
670,247,38
671,248,32
672,248,31
673,249,48
674,249,47
675,250,9
676,250,10
677,250,6
678,251,32
679,251,33
680,251,31
681,252,33
682,252,32
683,252,31
684,253,46
685,254,44
686,254,43
687,255,41
688,255,40
689,256,33
690,256,32
691,256,31
692,257,33
693,257,32
694,257,31
695,258,44
696,258,43
697,259,45
698,260,13
699,260,14
700,261,16
701,261,18
702,261,17
703,262,43
704,262,44
705,263,47
706,263,48
707,264,14
708,264,12
709,264,13
710,265,48
711,265,47
712,266,41
713,266,40
714,266,42
715,267,30
716,267,27
717,267,29
718,268,26
719,268,24
720,268,25
721,269,46
722,270,40
723,270,41
724,270,42
725,271,34
726,271,35
727,272,28
728,272,27
729,273,29
730,273,27
731,274,10
732,274,8
733,275,23
734,275,24
735,275,26
736,276,43
737,276,44
738,277,25
739,277,23
740,278,40
741,278,42
742,278,41
743,279,10
744,279,6
745,279,9
746,280,17
747,280,16
748,280,15
749,280,18
750,281,44
751,281,43
752,282,44
753,282,43
754,283,15
755,283,16
756,283,17
757,283,18
758,284,43
759,284,44
760,285,18
761,285,15
762,285,16
763,285,17
764,286,32
765,286,31
766,286,33
767,287,45
768,288,15
769,288,17
770,288,16
771,288,18
772,289,23
773,289,26
774,289,25
775,289,24
776,290,18
777,290,16
778,291,42
779,291,40
780,291,41
781,292,42
782,292,40
783,292,41
784,293,16
785,293,18
786,294,26
787,294,24
788,295,33
789,295,32
790,296,18
791,296,17
792,297,42
793,297,40
794,297,41
795,298,3
796,298,1
797,298,4
798,299,23
799,299,26
800,299,24
801,300,40
802,300,41
803,300,42
804,301,48
805,301,47
806,302,25
807,302,23
808,302,26
809,302,24
810,303,23
811,303,24
812,304,45
813,305,12
814,305,14
815,305,13
816,305,11
817,306,11
818,306,14
819,306,13
820,307,28
821,307,27
822,307,29
823,308,42
824,308,40
825,309,24
826,309,23
827,309,25
828,310,1
829,310,5
830,310,4
831,310,3
832,311,45
833,312,48
834,312,47
835,313,10
836,313,7
837,313,6
838,314,3
839,314,5
840,314,2
841,314,1
842,315,48
843,315,47
844,316,26
845,316,25
846,316,23
847,316,24
848,317,15
849,317,17
850,317,18
851,318,43
852,318,44
853,319,35
854,319,36
855,320,39
856,320,38
857,321,42
858,321,41
859,322,26
860,322,25
861,322,24
862,323,27
863,323,30
864,323,29
865,324,45
866,325,25
867,325,26
868,326,16
869,326,18
870,326,15
871,326,17
872,327,24
873,327,26
874,327,25
875,327,23
876,328,21
877,328,19
878,328,20
879,328,22
880,329,25
881,329,24
882,329,26
883,330,12
884,330,11
885,330,14
886,330,13
887,331,37
888,331,38
889,332,25
890,332,24
891,332,23
892,333,18
893,333,17
894,334,46
895,335,14
896,335,11
897,335,12
898,336,30
899,336,27
900,337,14
901,337,11
902,337,13
903,338,25
904,338,24
905,338,23
906,338,26
907,339,38
908,339,37
909,339,39
910,340,16
911,340,17
912,340,18
913,340,15
914,341,28
915,341,27
916,341,30
917,341,29
918,342,18
919,342,16
920,342,15
921,342,17
922,343,7
923,343,6
924,344,23
925,344,26
926,344,25
927,345,15
928,345,18
929,346,39
930,346,38
931,346,37
932,347,24
933,347,26
934,347,23
935,348,24
936,348,26
937,348,25
938,348,23
939,349,21
940,349,22
941,349,20
942,349,19
943,350,30
944,350,28
945,350,27
946,351,38
947,351,39
948,352,4
949,352,3
950,353,36
951,353,34
952,353,35
953,354,40
954,354,41
955,355,18
956,355,15
957,356,14
958,356,13
959,357,6
960,357,7
961,358,41
962,358,42
963,358,40
964,359,16
965,359,15
966,359,17
967,359,18
968,360,46
969,361,33
970,361,31
971,361,32
972,362,36
973,362,34
974,362,35
975,363,22
976,363,19
977,363,20
978,364,24
979,364,25
980,364,23
981,365,17
982,365,18
983,366,46
984,367,30
985,367,28
986,367,29
987,367,27
988,368,38
989,368,37
990,368,39
991,369,46
992,370,24
993,370,23
994,371,16
995,371,15
996,372,27
997,372,29
998,372,28
999,373,44
1000,373,43
1001,374,18
1002,374,15
1003,374,16
1004,375,45
1005,376,20
1006,376,22
1007,376,19
1008,376,21
1009,377,31
1010,377,33
1011,377,32
1012,378,28
1013,378,29
1014,378,30
1015,378,27
1016,379,18
1017,379,17
1018,380,43
1019,380,44
1020,381,45
1021,382,38
1022,382,39
1023,383,38
1024,383,37
1025,383,39
1026,384,28
1027,384,27
1028,384,29
1029,385,15
1030,385,16
1031,385,17
1032,386,29
1033,386,30
1034,387,29
1035,387,27
1036,388,39
1037,388,38
1038,388,37
1039,389,6
1040,389,9
1041,389,7
1042,389,8
1043,390,37
1044,390,38
1045,390,39
1046,391,28
1047,391,27
1048,391,29
1049,392,30
1050,392,29
1051,392,27
1052,392,28
1053,393,5
1054,393,2
1055,394,45
1056,395,37
1057,395,38
1058,395,39
1059,396,7
1060,396,10
1061,397,11
1062,397,12
1063,397,13
1064,397,14
1065,398,30
1066,398,29
1067,399,35
1068,399,36
1069,399,34
