notification_id,booking_id,recipient_type,recipient_id,notification_type,message,is_read,created_at
1,1,Worker,3351,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-07-25
2,1,Employer,315,Booking,Your service has been completed. Please rate the worker.,False,2025-07-25
3,2,Worker,6128,Booking,You have accepted a new booking.,False,2025-10-20
4,2,Employer,374,Booking,A worker has accepted your booking.,False,2025-10-20
5,3,Worker,5565,Booking,You have accepted a new booking.,False,2025-07-10
6,3,Employer,404,Booking,A worker has accepted your booking.,True,2025-07-10
7,4,Worker,2674,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-03-15
8,4,Employer,485,Booking,Your service has been completed. Please rate the worker.,False,2025-03-15
9,5,Worker,2769,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-09-25
10,5,Employer,237,Booking,Your service has been completed. Please rate the worker.,True,2025-09-25
11,6,Worker,2959,Booking,You have accepted a new booking.,False,2025-05-06
12,6,Employer,24,Booking,A worker has accepted your booking.,True,2025-05-06
13,7,Worker,4890,Booking,You have accepted a new booking.,False,2025-11-06
14,7,Employer,481,Booking,A worker has accepted your booking.,True,2025-11-06
15,8,Worker,2423,Booking,You have accepted a new booking.,True,2025-10-10
16,8,Employer,474,Booking,A worker has accepted your booking.,True,2025-10-10
17,9,Worker,572,Booking,A new booking request is waiting for your response.,False,2025-09-29
18,9,Employer,396,Booking,Your booking request is pending.,True,2025-09-29
19,10,Worker,4476,Booking,You have accepted a new booking.,True,2025-11-05
20,10,Employer,143,Booking,A worker has accepted your booking.,False,2025-11-05
21,11,Worker,38,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-07-06
22,11,Employer,329,Booking,Your service has been completed. Please rate the worker.,True,2025-07-06
23,12,Worker,4060,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-03-03
24,12,Employer,489,Booking,Your service has been completed. Please rate the worker.,False,2025-03-03
25,13,Worker,1253,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-05-24
26,13,Employer,396,Booking,Your service has been completed. Please rate the worker.,False,2025-05-24
27,14,Worker,5884,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-03-12
28,14,Employer,94,Booking,Your service has been completed. Please rate the worker.,True,2025-03-12
29,15,Worker,3817,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-04-30
30,15,Employer,42,Booking,Your service has been completed. Please rate the worker.,False,2025-04-30
31,16,Worker,337,Booking,A new booking request is waiting for your response.,False,2025-04-11
32,16,Employer,500,Booking,Your booking request is pending.,False,2025-04-11
33,17,Worker,3564,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-09-28
34,17,Employer,257,Booking,Your service has been completed. Please rate the worker.,True,2025-09-28
35,18,Worker,4342,Booking,You have accepted a new booking.,False,2025-06-23
36,18,Employer,62,Booking,A worker has accepted your booking.,False,2025-06-23
37,19,Worker,817,Booking,A new booking request is waiting for your response.,False,2025-05-30
38,19,Employer,374,Booking,Your booking request is pending.,False,2025-05-30
39,20,Worker,3178,Booking,A new booking request is waiting for your response.,True,2025-06-11
