payment_id,booking_id,amount,payment_method,payment_status,transaction_id,payment_date
1,1,9633,Cash,Paid,TXN-E196CDDA88,2025-07-28
2,2,2965,Credit Card,Paid,TXN-AF03400D36,2025-10-24
3,3,8555,UPI,Paid,TXN-EF9730A457,2025-07-12
4,4,8370,Credit Card,Paid,TXN-8B836D4DCB,2025-03-22
5,5,5506,Debit Card,Paid,TXN-3A2840E985,2025-10-01
6,6,2863,Debit Card,Paid,TXN-16D9E2E2C7,2025-05-14
7,7,8368,Debit Card,Paid,TXN-3F28D9937B,2025-11-14
8,8,9344,Cash,Paid,TXN-35BD3905E2,2025-10-13
9,9,6553,Net Banking,Pending,TXN-FF85605D75,
10,10,555,Credit Card,Paid,TXN-F3ADD0E053,2025-11-14
11,11,8140,Credit Card,Paid,TXN-0E019F4029,2025-07-08
12,12,960,Credit Card,Paid,TXN-31CDB11C14,2025-03-07
13,13,5483,UPI,Paid,TXN-768463411F,2025-05-30
14,14,8709,Credit Card,Paid,TXN-268B6A4422,2025-03-20
15,15,2232,Debit Card,Paid,TXN-071D8C3F8C,2025-05-05
16,16,515,Cash,Pending,TXN-73449D4BCF,
17,17,6877,Debit Card,Paid,TXN-8C909808C7,2025-10-04
18,18,9268,Net Banking,Paid,TXN-06A2E9CA76,2025-06-29
19,19,7999,Credit Card,Pending,TXN-7E1F97DA11,
20,20,1978,Credit Card,Pending,TXN-818715EB4D,
21,21,6170,Net Banking,Pending,TXN-155B67C037,
22,22,6281,UPI,Paid,TXN-5ABC31D240,2025-04-20
23,23,7934,Credit Card,Paid,TXN-AA32C50DB1,2025-07-02
24,24,2665,UPI,Pending,TXN-E388E56036,
25,25,4709,UPI,Refunded,TXN-28F7D96715,
26,26,9040,UPI,Pending,TXN-024CC2156A,
27,27,3135,Cash,Paid,TXN-E6ECCC8406,2025-06-16
28,28,3517,Net Banking,Paid,TXN-6047001DCA,2025-08-29
29,29,3291,Debit Card,Paid,TXN-6737A230D8,2025-04-11
30,30,2362,Cash,Paid,TXN-A5582A8C5D,2025-02-18
31,31,577,Credit Card,Paid,TXN-30C14549FD,2025-07-22
32,32,3262,Net Banking,Paid,TXN-CF739ADA69,2025-09-11
33,33,7732,Credit Card,Paid,TXN-8F52CD7527,2025-11-07
34,34,1263,Cash,Pending,TXN-1B76E30334,
35,35,3231,UPI,Paid,TXN-ABFB002EC4,2025-08-05
36,36,1489,Cash,Paid,TXN-4482C14607,2025-10-12
37,37,5204,Cash,Paid,TXN-C6A7B6937C,2025-03-10
38,38,1153,Debit Card,Paid,TXN-E1DEFED2E5,2025-10-19
39,39,4077,UPI,Pending,TXN-CC865331BC,
40,40,7639,Cash,Paid,TXN-28F3033AF7,2025-03-27
