rating_id,booking_id,employer_id,worker_id,rating,review,rated_at
1,1,315,3351,4,Will definitely hire again.,2025-07-29
2,4,485,2674,5,Very satisfied with the service.,2025-03-24
3,5,237,2769,4,Very professional.,2025-09-30
4,11,329,38,5,Arrived on time and did a great job.,2025-07-08
5,12,489,4060,4,Finished before the expected time.,2025-03-05
6,13,396,1253,5,Highly recommended.,2025-06-01
7,14,94,5884,4,Excellent service.,2025-03-21
8,15,42,3817,2,Poor communication.,2025-05-09
9,17,257,3564,4,Good quality work.,2025-10-06
10,22,35,2852,5,Will definitely hire again.,2025-04-24
11,23,89,4709,4,Will definitely hire again.,2025-07-04
12,27,73,1762,5,Completed the work perfectly.,2025-06-17
13,29,469,6379,3,Could have been better.,2025-04-13
14,31,463,582,4,Highly recommended.,2025-07-25
15,35,307,3101,4,Completed the work perfectly.,2025-08-04
16,37,476,4342,2,Poor communication.,2025-03-11
17,38,86,4769,3,Work was satisfactory.,2025-10-18
18,40,137,85,4,Skilled and polite worker.,2025-03-31
19,41,417,5806,3,Could have been better.,2025-03-03
20,43,293,1778,5,Highly recommended.,2025-07-30
21,46,402,1934,3,Completed the job with minor issues.,2025-12-29
22,47,168,527,2,Not satisfied with the quality.,2025-07-31
23,50,397,4434,3,Work was satisfactory.,2025-11-12
24,51,170,3819,4,Very professional.,2025-08-25
25,53,363,1183,4,Finished before the expected time.,2025-10-13
26,54,39,1766,5,Very professional.,2025-06-28
27,57,191,2150,5,Very satisfied with the service.,2025-06-01
28,58,70,6360,5,Very satisfied with the service.,2025-04-01
29,59,185,5735,3,Completed the job with minor issues.,2025-07-09
30,60,420,5719,3,Completed the job with minor issues.,2025-09-30
31,62,30,6099,5,Good quality work.,2025-05-01
32,63,306,3325,2,Job was incomplete.,2025-08-19
33,64,189,3391,1,Job was incomplete.,2025-06-12
34,65,261,5409,5,Completed the work perfectly.,2025-10-16
35,67,83,3554,5,Completed the work perfectly.,2025-12-10
36,69,345,317,4,Excellent service.,2025-05-06
37,70,339,1639,4,Very professional.,2025-08-18
38,71,379,1439,4,Highly recommended.,2025-05-17
39,72,179,4539,4,Highly recommended.,2025-11-29
40,78,258,5112,4,Highly recommended.,2025-05-07
41,79,120,2285,5,Highly recommended.,2025-04-21
42,81,429,4700,5,Finished before the expected time.,2025-10-04
43,82,427,6127,5,Very professional.,2025-02-28
44,86,467,126,3,Average experience.,2025-12-02
45,87,450,5669,2,Not satisfied with the quality.,2025-11-24
46,88,397,2830,5,Skilled and polite worker.,2025-01-20
47,89,177,2437,4,Very satisfied with the service.,2025-08-03
48,91,260,2065,5,Highly recommended.,2025-03-10
49,92,451,4903,5,Completed the work perfectly.,2025-04-24
50,93,186,295,3,Average experience.,2025-08-13
51,94,471,1460,5,Highly recommended.,2025-12-17
52,95,343,3461,3,Completed the job with minor issues.,2025-05-12
53,96,41,1598,5,Completed the work perfectly.,2025-10-25
54,100,240,5533,5,Highly recommended.,2025-04-30
55,102,199,4622,5,Finished before the expected time.,2025-02-11
