profile_id,worker_id,raw_description,embedding,created_at
1,1,Experienced alteration with 15 years of experience. Speaks English. Available to travel up to 31 km. Current rating is 4.03.,,2025-05-14
2,2,Experienced plumber with 9 years of experience. Speaks English. Available to travel up to 38 km. Current rating is 4.35.,,2025-02-09
3,3,Experienced ac technician with 20 years of experience. Speaks English. Available to travel up to 33 km. Current rating is 3.8.,,2025-02-07
4,4,Experienced catering with 6 years of experience. Speaks Telugu. Available to travel up to 44 km. Current rating is 4.72.,,2025-12-23
5,5,Experienced wood polishing with 0 years of experience. Speaks Telugu. Available to travel up to 29 km. Current rating is 3.74.,,2025-09-21
6,6,Experienced beautician with 1 years of experience. Speaks English. Available to travel up to 18 km. Current rating is 4.8.,,2025-12-24
7,7,Experienced switch repair with 9 years of experience. Speaks English. Available to travel up to 48 km. Current rating is 3.76.,,2025-08-25
8,8,Experienced wood polishing with 0 years of experience. Speaks Malayalam. Available to travel up to 39 km. Current rating is 3.77.,,2025-11-08
9,9,Experienced tile installation with 20 years of experience. Speaks Telugu. Available to travel up to 44 km. Current rating is 3.56.,,2025-02-23
10,10,Experienced refrigerator repair with 1 years of experience. Speaks Kannada. Available to travel up to 18 km. Current rating is 4.02.,,2025-10-03
11,11,Experienced hair stylist with 11 years of experience. Speaks Kannada. Available to travel up to 37 km. Current rating is 3.81.,,2025-09-21
12,12,Experienced ac repair with 1 years of experience. Speaks Hindi. Available to travel up to 31 km. Current rating is 4.82.,,2025-10-18
13,13,Experienced microwave repair with 13 years of experience. Speaks Telugu. Available to travel up to 30 km. Current rating is 3.54.,,2025-12-20
14,14,Experienced microwave repair with 19 years of experience. Speaks English. Available to travel up to 38 km. Current rating is 4.1.,,2025-11-05
15,15,Experienced electrician with 16 years of experience. Speaks Kannada. Available to travel up to 36 km. Current rating is 4.38.,,2025-06-17
16,16,Experienced bathroom cleaning with 17 years of experience. Speaks Telugu. Available to travel up to 17 km. Current rating is 4.03.,,2025-07-21
