worker_skill_id,worker_id,skill_id
1,1,48
2,1,47
3,2,48
4,2,47
5,3,2
6,3,1
7,3,5
8,3,3
9,4,40
10,4,41
11,4,42
12,5,32
13,5,31
14,6,18
15,6,17
16,7,23
17,7,24
18,8,4
19,8,3
20,8,1
21,9,39
22,9,38
23,9,37
24,10,27
25,10,30
26,10,28
27,10,29
28,11,31
29,11,32
30,12,44
31,12,43
32,13,29
33,13,30
34,14,21
35,14,20
36,14,22
37,15,13
38,15,12
39,15,11
40,16,38
41,16,39
42,16,37
43,17,20
44,17,21
45,17,19
46,17,22
47,18,47
48,18,48
49,19,12
50,19,14
51,20,2
52,20,5
53,21,3
54,21,1
55,22,37
56,22,38
57,22,39
58,23,24
59,23,26
60,24,46
61,25,46
62,26,40
63,26,42
64,27,28
65,27,30
66,27,27
67,27,29
68,28,29
69,28,30
70,29,46
71,30,44
72,30,43
73,31,6
74,31,9
75,31,8
76,31,7
77,32,19
78,32,20
79,33,45
80,34,18
81,34,16
82,34,15
83,35,28
84,35,30
85,36,48
86,36,47
87,37,3
88,37,2
89,38,12
90,38,11
91,38,13
92,38,14
93,39,25
94,39,24
95,40,48
96,40,47
97,41,43
98,41,44
99,42,47
100,42,48
101,43,39
102,43,38
103,43,37
104,44,35
105,44,34
106,45,43
107,45,44
108,46,10
109,46,7
110,47,9
111,47,7
112,47,8
113,47,6
114,48,20
115,48,19
116,48,21
117,48,22
118,49,1
119,49,4
120,49,5
121,50,10
122,50,6
123,51,9
124,51,6
125,52,46
126,53,46
127,54,48
128,54,47
129,55,11
130,55,13
131,56,22
132,56,21
133,56,19
134,56,20
135,57,41
136,57,40
137,58,32
138,58,31
139,58,33
140,59,38
141,59,37
142,59,39
143,60,23
144,60,25
145,60,26
146,60,24
147,61,48
148,61,47
149,62,18
150,62,17
151,62,16
152,63,3
153,63,2
154,64,35
155,64,34
156,64,36
157,65,35
158,65,36
159,65,34
160,66,9
161,66,7
162,67,14
163,67,12
164,67,11
165,67,13
166,68,35
167,68,34
168,68,36
169,69,32
170,69,31
171,69,33
172,70,44
173,70,43
174,71,40
175,71,42
176,71,41
177,72,40
178,72,41
179,72,42
180,73,13
181,73,11
182,73,14
183,74,34
184,74,35
185,74,36
186,75,34
187,75,35
188,75,36
189,76,45
190,77,38
191,77,37
192,78,32
193,78,31
194,78,33
195,79,4
196,79,2
197,79,5
198,80,22
199,80,19
200,80,21
201,81,11
202,81,14
203,81,13
204,81,12
205,82,43
206,82,44
207,83,25
208,83,24
209,84,28
210,84,27
211,84,30
212,84,29
213,85,48
214,85,47
215,86,32
216,86,33
217,86,31
218,87,16
219,87,15
220,87,18
221,87,17
222,88,24
223,88,26
224,88,23
225,89,7
226,89,9
227,90,30
228,90,27
229,90,28
230,91,12
231,91,11
232,92,19
233,92,20
234,92,21
235,92,22
236,93,31
237,93,32
238,93,33
239,94,45
240,95,1
241,95,5
242,95,2
243,96,48
244,96,47
245,97,47
246,97,48
247,98,43
248,98,44
249,99,38
250,99,39
251,99,37
252,100,40
253,100,41
254,100,42
255,101,38
256,101,37
257,101,39
258,102,15
259,102,17
260,103,37
261,103,38
262,103,39
263,104,48
264,104,47
265,105,41
266,105,42
267,106,22
268,106,19
269,106,21
270,106,20
271,107,43
272,107,44
273,108,23
274,108,25
275,108,24
276,108,26
277,109,33
278,109,32
279,109,31
280,110,10
281,110,6
282,110,9
283,110,8
284,111,9
285,111,10
286,111,8
287,112,17
288,112,18
289,112,16
290,112,15
291,113,15
292,113,17
293,114,35
294,114,36
295,114,34
296,115,1
297,115,2
298,115,5
299,116,45
300,117,16
301,117,17
302,117,15
303,117,18
304,118,20
305,118,21
306,118,22
307,119,44
308,119,43
309,120,27
310,120,30
311,121,38
312,121,37
313,121,39
314,122,38
315,122,37
316,123,31
317,123,32
318,123,33
319,124,46
320,125,43
321,125,44
322,126,47
323,126,48
324,127,19
325,127,22
326,127,21
327,128,43
328,128,44
329,129,47
330,129,48
331,130,43
332,130,44
333,131,13
334,131,12
335,131,14
336,132,46
337,133,46
338,134,45
339,135,47
340,135,48
341,136,30
342,136,29
343,136,28
344,137,17
345,137,15
346,138,43
347,138,44
348,139,11
349,139,12
350,139,13
351,139,14
352,140,26
353,140,25
354,141,45
355,142,3
356,142,1
357,142,4
358,142,5
359,143,17
360,143,18
361,143,16
362,144,26
363,144,24
364,144,23
365,144,25
366,145,47
367,145,48
368,146,26
369,146,23
370,147,41
371,147,42
372,148,45
373,149,26
374,149,24
375,149,25
376,149,23
377,150,35
378,150,34
379,150,36
380,151,45
381,152,37
382,152,39
383,153,4
384,153,3
385,154,41
386,154,40
387,155,47
388,155,48
389,156,34
390,156,36
391,156,35
392,157,3
393,157,2
394,157,1
395,158,46
396,159,37
397,159,38
398,159,39
399,160,27
400,160,30
401,160,28
402,160,29
403,161,35
404,161,36
405,161,34
406,162,45
407,163,22
408,163,21
409,164,31
410,164,33
411,165,45
412,166,39
413,166,37
414,167,48
415,167,47
416,168,1
417,168,4
418,168,2
419,169,31
420,169,33
421,169,32
422,170,7
423,170,10
424,171,36
425,171,34
426,171,35
427,172,16
428,172,17
429,173,23
430,173,26
431,173,24
432,174,47
433,174,48
434,175,18
435,175,16
436,175,15
437,176,9
438,176,8
439,176,6
440,177,14
441,177,13
442,177,12
443,177,11
444,178,43
445,178,44
446,179,46
447,180,9
448,180,7
449,180,8
450,181,42
451,181,40
452,182,37
453,182,39
454,182,38
455,183,47
456,183,48
457,184,22
458,184,20
459,184,21
460,185,32
461,185,33
462,185,31
463,186,45
464,187,14
465,187,11
466,188,42
467,188,41
468,189,5
469,189,1
470,189,3
471,190,24
472,190,23
473,190,26
474,191,46
475,192,46
476,193,27
477,193,28
478,194,45
479,195,47
480,195,48
481,196,20
482,196,22
483,197,15
484,197,16
485,197,17
486,198,48
487,198,47
488,199,14
489,199,13
490,199,12
491,200,1
492,200,4
493,201,30
494,201,27
495,201,29
496,202,39
497,202,38
498,202,37
499,203,2
500,203,3
501,204,15
502,204,17
503,204,16
504,205,33
505,205,31
506,205,32
507,206,41
508,206,40
509,206,42
510,207,17
511,207,16
512,207,18
513,207,15
514,208,25
515,208,26
516,208,24
517,208,23
518,209,2
519,209,5
520,209,4
521,210,38
522,210,37
523,211,41
524,211,40
525,212,40
526,212,41
527,213,11
528,213,13
529,213,12
530,214,14
531,214,13
532,214,12
533,215,38
534,215,37
535,215,39
536,216,23
537,216,24
538,216,25
539,216,26
540,217,27
541,217,30
542,218,21
543,218,22
544,218,19
545,218,20
546,219,45
547,220,42
548,220,40
549,220,41
550,221,46
551,222,43
552,222,44
553,223,45
554,224,30
555,224,28
556,224,29
557,224,27
558,225,37
559,225,38
560,225,39
561,226,47
562,226,48
563,227,30
564,227,27
565,227,28
566,228,42
567,228,41
568,228,40
569,229,46
570,230,4
571,230,5
572,230,2
573,230,1
574,231,47
575,231,48
576,232,11
577,232,12
578,233,40
579,233,41
580,233,42
581,234,36
582,234,35
583,234,34
584,235,12
585,235,13
586,235,11
587,236,21
588,236,22
589,236,20
590,236,19
591,237,23
592,237,24
593,238,6
594,238,9
595,238,8
596,238,10
597,239,48
598,239,47
599,240,11
600,240,14
601,240,13
602,240,12
603,241,25
604,241,26
605,242,42
606,242,41
607,242,40
608,243,4
609,243,2
610,243,3
611,243,5
612,244,42
613,244,41
614,244,40
615,245,5
616,245,4
617,245,1
618,245,2
619,246,35
620,246,36
621,247,10
622,247,9
623,247,6
624,247,8
625,248,33
626,248,31
627,248,32
628,249,45
629,250,17
630,250,15
631,251,8
632,251,7
633,251,6
634,252,35
635,252,36
636,252,34
637,253,2
638,253,4
639,253,3
640,254,28
641,254,29
642,255,46
643,256,7
644,256,8
645,256,6
646,256,9
647,257,12
648,257,11
649,258,42
650,258,41
651,259,22
652,259,21
653,260,32
654,260,33
655,260,31
656,261,45
657,262,31
658,262,32
659,262,33
660,263,35
661,263,34
662,263,36
663,264,39
664,264,38
665,264,37
666,265,45
667,266,36
668,266,35
669,266,34
670,267,6
671,267,9
672,268,5
673,268,2
674,268,1
675,269,37
676,269,38
677,269,39
678,270,3
679,270,2
680,271,46
681,272,25
682,272,24
683,272,26
684,273,5
685,273,4
686,273,3
687,274,47
688,274,48
689,275,37
690,275,39
691,275,38
692,276,45
693,277,39
694,277,38
695,278,23
696,278,26
697,278,25
698,279,40
699,279,41
700,280,45
701,281,45
702,282,40
703,282,42
704,282,41
705,283,48
706,283,47
707,284,31
708,284,32
709,285,26
710,285,23
711,286,45
712,287,41
713,287,42
714,287,40
715,288,23
716,288,26
717,288,25
718,289,20
719,289,21
720,289,22
721,289,19
722,290,33
723,290,32
724,290,31
725,291,12
726,291,13
727,291,11
728,291,14
729,292,21
730,292,19
731,292,22
732,293,24
733,293,25
734,294,46
735,295,34
736,295,35
737,295,36
738,296,7
739,296,9
740,296,8
741,297,6
742,297,10
743,298,39
744,298,37
745,298,38
746,299,28
747,299,29
748,300,32
749,300,33
750,300,31
751,301,39
752,301,37
753,301,38
754,302,9
755,302,6
756,302,10
757,302,8
758,303,16
759,303,18
760,304,38
761,304,37
762,304,39
763,305,43
764,305,44
765,306,19
766,306,21
767,306,20
768,306,22
769,307,31
770,307,33
771,308,33
772,308,32
773,308,31
774,309,37
775,309,38
776,310,18
777,310,16
778,311,44
779,311,43
780,312,22
781,312,19
782,313,19
783,313,21
784,313,22
785,314,44
786,314,43
787,315,19
788,315,20
789,316,32
790,316,31
791,316,33
792,317,25
793,317,23
794,317,26
795,318,27
796,318,29
797,319,45
798,320,39
799,320,38
800,320,37
801,321,36
802,321,35
803,322,34
804,322,35
805,322,36
806,323,4
807,323,2
808,324,47
809,324,48
810,325,44
811,325,43
812,326,38
813,326,37
814,326,39
815,327,8
816,327,7
817,328,29
818,328,30
819,328,27
820,329,25
821,329,26
822,329,24
823,330,28
824,330,29
825,330,27
826,330,30
827,331,14
828,331,12
829,332,45
830,333,16
831,333,15
832,333,18
833,334,40
834,334,41
835,334,42
836,335,5
837,335,2
838,335,3
839,336,30
840,336,28
841,337,45
842,338,39
843,338,38
844,339,45
845,340,12
846,340,13
847,340,11
848,340,14
849,341,20
850,341,19
851,342,15
852,342,17
853,342,16
854,343,30
855,343,28
856,344,19
857,344,20
858,344,21
859,345,12
860,345,13
861,345,14
862,346,45
863,347,28
864,347,30
865,348,25
866,348,23
867,348,24
868,349,40
869,349,42
870,349,41
871,350,4
872,350,3
873,350,1
874,351,46
875,352,18
876,352,17
877,353,31
878,353,33
879,354,9
880,354,10
881,354,6
882,354,7
883,355,9
884,355,8
885,355,7
886,355,10
887,356,29
888,356,27
889,356,28
890,356,30
891,357,46
892,358,45
893,359,40
894,359,41
895,359,42
896,360,47
897,360,48
898,361,35
899,361,36
900,361,34
901,362,46
902,363,48
903,363,47
904,364,25
905,364,23
906,364,26
907,365,20
908,365,21
909,365,22
910,366,20
911,366,21
912,366,19
913,367,46
914,368,14
915,368,11
916,368,13
917,368,12
918,369,45
919,370,36
920,370,35
921,371,31
922,371,32
923,371,33
924,372,13
925,372,11
926,373,27
927,373,29
928,374,30
929,374,28
930,374,27
931,374,29
932,375,15
933,375,18
934,376,14
935,376,12
936,376,11
937,377,12
938,377,13
939,377,11
940,378,14
941,378,11
942,379,37
943,379,38
944,380,24
945,380,25
946,380,26
947,381,46
